ts,x,y,z,ls
1.669246928055776e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469284886282e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469289216937e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469293466798e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469297633329e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246930180041e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469305800315e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469309800415e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246931388178e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469317965612e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469322048338e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469326133916e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469330715387e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469334881293e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469338881085e+18,0.0,-0.0005000000237487257,0.0,0.0
1.66924693437149e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469347879729e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246935179718e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469355799012e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469361296899e+18,0.0,-0.0005000000237487257,0.0,0.0
1.6692469365547727e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246936954658e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246937379951e+18,0.0,-0.0005000000237487257,0.0,0.0
1.669246937821564e+18,0.0,-0.0005000000237487257,0.0,-3.477655991446227e-05
1.6692469382379748e+18,0.0,-0.0005000000237487257,0.0,-0.01002724189311266
1.6692469386381176e+18,0.0,-0.0005000000237487257,0.0,-0.04076972231268883
1.6692469390714998e+18,0.0,-0.0005000000237487257,0.0,-0.08942212909460068
1.6692469394966582e+18,0.0,-0.0005000000237487257,0.0,-0.1568886637687683
1.6692469399132209e+18,0.0,-0.0005000000237487257,0.0,-0.2432156652212143
1.669246940338252e+18,0.0,-0.0005000000237487257,0.0,-0.3788326680660248
1.6692469408631652e+18,0.0,-0.0005000000237487257,0.0,-0.5520547032356262
1.669246941413074e+18,0.0,-0.0005000000237487257,0.0,-0.7015475630760193
1.669246941821298e+18,0.0,-0.0005000000237487257,0.0,-0.8647075891494751
1.6692469422213368e+18,0.0,-0.0005000000237487257,0.0,-1.0499855279922485
1.6692469426297477e+18,0.0,-0.0005000000237487257,0.0,-1.2482002973556519
1.6692469430381962e+18,0.0,-0.0005000000237487257,0.0,-1.485480785369873
1.6692469434713807e+18,0.0,-0.0005000000237487257,0.0,-1.725531816482544
1.6692469438878787e+18,0.0,-0.0005000000237487257,0.0,-1.9899147748947144
1.6692469443047895e+18,0.0,-0.0005000000237487257,0.0,-2.2663652896881104
